ID,Name,Elo
367,Austin Peay,385.8017894536963
368,Delaware St,403.33218308597856
369,Penn,344.4356693786271
370,La Salle,346.9329184341504
371,Colgate,370.3717664152103
372,Michigan,486.34558363460417
373,Hillsdale,376.6192790640773
374,Evansville,505.3061230455849
375,Earlham,392.0
376,N Illinois,397.6238235195936
377,Aurora,392.0
378,Bowling Green,447.6520283470689
379,Drake,261.8933838848289
380,UCF,357.4915745165833
381,Goucher,376.0738392733938
382,NE Omaha,368.0491537988469
383,Illinois St,468.3779765982306
384,OH Dominican,392.1841742594847
385,Denver,393.809959357801
386,Holy Cross,366.6647755723328
387,San Francisco,394.3490241861231
388,Northeastern,457.6196295517855
389,Boston Univ,379.68674053900594
390,Florida National,384.6924840719902
391,LSU-Alexandria,361.8179603161855
392,Rutgers,269.5645640545976
393,UC Davis,508.6437842834604
394,Holy Names,367.6842394437693
395,Charlotte,372.1209316549422
396,Miami OH,381.0109243648731
397,Nebraska,397.3279242262436
398,W Michigan,443.1208728141843
399,Aquinas,376.5442789378778
400,Arkansas,478.4357356576752
401,Seton Hall,532.0930382337723
402,Toledo,425.9609926258077
403,Wyoming,413.8110625337079
404,Oberlin,384.6960244573239
405,Berea,391.8158257405153
406,Oklahoma,583.5006830196229
407,Vanderbilt,490.3924908692609
408,Trevecca Naz,384.1926466020127
409,Ark Little Rock,373.9280671009792
410,Eureka,369.1721279007545
411,Champion Bap,367.5916773778169
412,Arkansas St,352.9300030765356
413,Nicholls St,348.35431404686506
414,McKendree,392.1841742594847
415,Tulane,341.2235809732624
416,Bap Bible PA,392.1841742594847
417,Bristol,360.4290083683699
418,Presentation,391.8158257405153
419,Cal Lutheran,392.1841742594847
420,Adams St,384.9182708653777
421,Delaware,284.9635501125901
422,Webber,367.3092696321376
423,Young Harris,391.8158257405153
424,MN Crookston,384.0087538555585
425,IU Kokomo,391.8158257405153
426,Franklin Pierce,384.37258249791023
427,Lyon,376.0083816447785
428,Erskine,392.1841742594847
429,Newbury,391.8158257405153
430,Warner,391.8158257405153
431,Tiffin,383.8673119127696
432,FDU Madison,392.1841742594847
433,Cincinnati Chr,383.5988186023195
