playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary
castivi02,4002,3,146,538,69,140,34,1,25,91.0,1.0,4.0,35,108.0,3.0,4.0,0.0,4.0,22.0,1967.0,7.0,4.0,Mexico,Oaxaca,Oaxaca,,,,,,,Vinny,Castilla,Vinicio,175.0,73.0,R,R,1991-09-01,2006-09-28,castv001,castivi02,2002,ATL,NL,3000000
catalfr01,2001,1,133,463,77,153,31,5,11,54.0,15.0,5.0,39,55.0,3.0,8.0,1.0,1.0,5.0,1974.0,4.0,27.0,USA,NY,Smithtown,,,,,,,Frank,Catalanotto,Frank John,170.0,72.0,L,R,1997-09-03,2010-05-10,cataf001,catalfr01,2002,TEX,AL,2475000
cedenro01,2001,1,131,523,79,153,14,11,6,48.0,55.0,15.0,36,83.0,1.0,2.0,6.0,5.0,5.0,1974.0,8.0,16.0,Venezuela,Carabobo,Valencia,,,,,,,Roger,Cedeno,Roger Leandro,165.0,73.0,B,R,1995-06-20,2005-06-05,ceder001,cedenro01,2002,NYN,NL,2375000
chaveer01,2001,1,151,552,91,159,43,0,32,114.0,8.0,2.0,41,99.0,9.0,4.0,0.0,7.0,7.0,1977.0,12.0,7.0,USA,CA,Los Angeles,,,,,,,Eric,Chavez,Eric Cesar,215.0,73.0,L,R,1998-09-08,2014-06-08,chave001,chaveer01,2002,OAK,AL,2125000
cirilje01,2001,1,138,528,72,165,26,4,17,83.0,12.0,2.0,43,63.0,6.0,5.0,1.0,9.0,15.0,1969.0,9.0,23.0,USA,CA,Pasadena,,,,,,,Jeff,Cirillo,Jeffrey Howard,190.0,74.0,R,R,1994-05-11,2007-09-30,cirij001,cirilje01,2002,SEA,AL,6375000
clarkto02,2001,1,126,428,67,123,29,3,16,75.0,0.0,1.0,62,108.0,10.0,1.0,0.0,6.0,14.0,1972.0,6.0,15.0,USA,KS,Newton,,,,,,,Tony,Clark,Anthony Christopher,205.0,80.0,B,R,1995-09-03,2009-07-12,clart002,clarkto02,2002,BOS,AL,5000000
claytro01,2001,1,135,433,62,114,21,4,9,60.0,10.0,7.0,33,72.0,2.0,3.0,9.0,7.0,16.0,1970.0,1.0,2.0,USA,CA,Burbank,,,,,,,Royce,Clayton,Royce Spencer,175.0,72.0,R,R,1991-09-20,2007-09-30,clayr001,claytro01,2002,CHA,AL,4500000
coninje01,2001,1,139,524,75,163,23,2,14,97.0,12.0,8.0,64,75.0,6.0,5.0,0.0,8.0,12.0,1966.0,6.0,27.0,USA,WA,Tacoma,,,,,,,Jeff,Conine,Jeffrey Guy,205.0,73.0,R,R,1990-09-16,2007-09-30,conij001,coninje01,2002,BAL,AL,3500000
coomero01,2001,1,111,349,25,91,19,1,8,53.0,0.0,0.0,29,70.0,1.0,2.0,0.0,6.0,23.0,1966.0,11.0,18.0,USA,IL,Crest Hill,,,,,,,Ron,Coomer,Ronald Bryan,195.0,71.0,R,R,1995-08-01,2003-09-28,coomr001,coomero01,2002,NYA,AL,750000
coraal01,2001,1,134,405,38,88,18,3,4,29.0,0.0,2.0,31,58.0,6.0,8.0,3.0,2.0,16.0,1975.0,10.0,18.0,P.R.,,Caguas,,,,,,,Alex,Cora,Jose Alexander,200.0,72.0,L,R,1998-06-07,2011-09-28,coraa001,coraal01,2002,LAN,NL,625000
cordoma01,2001,1,122,409,61,123,20,2,20,69.0,0.0,3.0,23,81.0,0.0,8.0,0.0,2.0,9.0,1969.0,7.0,10.0,USA,NV,Las Vegas,,,,,,,Marty,Cordova,Martin Kevin,200.0,72.0,R,R,1995-04-26,2003-04-21,cordm001,cordoma01,2002,BAL,AL,2500000
