playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary,BA,OBP
soriaal01,2001,1,158,574,77,154,34,3,18,73.0,43.0,14.0,29,125.0,0.0,3.0,3.0,5.0,7.0,1976.0,1.0,7.0,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Alfonso,Soriano,Alfonso Guilleard,195.0,73.0,R,R,1999-09-14,2014-07-05,soria001,soriaal01,2002,NYA,AL,630000,0.2682926829268293,0.3044189852700491
larueja01,2001,1,121,364,39,86,21,2,12,43.0,3.0,3.0,27,106.0,4.0,9.0,1.0,2.0,11.0,1974.0,3.0,19.0,USA,TX,Houston,,,,,,,Jason,LaRue,Michael Jason,200.0,71.0,R,R,1999-06-15,2010-08-03,laruj001,larueja01,2002,CIN,NL,305000,0.2362637362637362,0.3034825870646766
sanchre01,4002,3,149,544,56,153,18,6,0,37.0,11.0,1.0,15,49.0,1.0,2.0,13.0,5.0,20.0,1967.0,10.0,5.0,P.R.,,Rio Piedras,,,,,,,Rey,Sanchez,Rey Francisco,180.0,70.0,R,R,1991-09-08,2005-06-08,sancr001,sanchre01,2002,BOS,AL,700000,0.28125,0.3003533568904594
gomezch02,4002,3,98,301,37,78,19,0,8,43.0,4.0,0.0,17,38.0,0.0,2.0,6.0,5.0,9.0,1971.0,6.0,16.0,USA,CA,Los Angeles,,,,,,,Chris,Gomez,Christopher Cory,183.0,73.0,R,R,1993-07-19,2008-09-18,gomec001,gomezch02,2002,TBA,AL,1000000,0.2591362126245847,0.2984615384615384
quinnma01,2001,1,118,453,57,122,31,2,17,60.0,9.0,5.0,12,69.0,1.0,7.0,0.0,1.0,16.0,1974.0,5.0,21.0,USA,CA,La Mirada,,,,,,,Mark,Quinn,Mark David,175.0,73.0,R,R,1999-09-14,2002-06-07,quinm001,quinnma01,2002,KCA,AL,375000,0.2693156732891832,0.2980972515856236
paytoja01,2001,1,104,361,44,92,16,1,8,34.0,4.0,3.0,18,52.0,1.0,5.0,0.0,2.0,11.0,1972.0,11.0,22.0,USA,OH,Zanesville,,,,,,,Jay,Payton,Jason Lee,185.0,70.0,R,R,1998-09-01,2010-10-03,paytj001,paytoja01,2002,NYN,NL,362500,0.2548476454293629,0.2979274611398964
youngmi02,2001,1,106,386,57,96,18,4,11,49.0,3.0,1.0,26,91.0,0.0,3.0,9.0,5.0,9.0,1976.0,10.0,19.0,USA,CA,Covina,,,,,,,Michael,Young,Michael Brian,200.0,73.0,R,R,2000-09-29,2013-09-29,younm003,youngmi02,2002,TEX,AL,250000,0.2487046632124352,0.2976190476190476
saenzol01,2001,1,106,305,33,67,21,1,9,32.0,0.0,1.0,19,64.0,1.0,13.0,1.0,3.0,9.0,1970.0,10.0,8.0,Panama,Herrera,Chitre,,,,,,,Olmedo,Saenz,Olmedo,185.0,74.0,R,R,1994-05-28,2007-09-27,saeno001,saenzol01,2002,OAK,AL,800000,0.2196721311475409,0.2911764705882353
hillesh02,2001,1,139,468,52,123,20,2,12,49.0,3.0,4.0,13,61.0,3.0,7.0,1.0,4.0,12.0,1975.0,7.0,27.0,USA,AZ,Mesa,,,,,,,Shea,Hillenbrand,Shea Matthew,200.0,73.0,R,R,2001-04-02,2007-09-20,hills002,hillesh02,2002,BOS,AL,260000,0.2628205128205128,0.290650406504065
cruzde01,2001,1,110,414,39,106,28,1,7,52.0,4.0,1.0,17,46.0,0.0,4.0,1.0,2.0,13.0,1972.0,11.0,6.0,D.R.,Peravia,Bani,,,,,,,Deivi,Cruz,Deivi,160.0,71.0,R,R,1997-04-01,2005-10-02,cruzd001,cruzde01,2002,SDN,NL,600000,0.2560386473429952,0.2906178489702517
barremi01,2001,1,132,472,42,118,33,2,6,38.0,2.0,1.0,25,54.0,2.0,2.0,4.0,3.0,14.0,1976.0,10.0,22.0,USA,GA,Atlanta,,,,,,,Michael,Barrett,Michael Patrick,185.0,75.0,R,R,1998-09-19,2009-04-17,barrm003,barremi01,2002,MON,NL,1150000,0.25,0.2888446215139442
coraal01,2001,1,134,405,38,88,18,3,4,29.0,0.0,2.0,31,58.0,6.0,8.0,3.0,2.0,16.0,1975.0,10.0,18.0,P.R.,,Caguas,,,,,,,Alex,Cora,Jose Alexander,200.0,72.0,L,R,1998-06-07,2011-09-28,coraa001,coraal01,2002,LAN,NL,625000,0.2172839506172839,0.2847533632286995
bergepe01,2001,1,102,375,53,79,11,4,3,16.0,10.0,7.0,28,87.0,2.0,5.0,8.0,0.0,5.0,1977.0,11.0,9.0,USA,MA,Greenfield,,,,,,,Peter,Bergeron,Peter Francis,185.0,74.0,L,R,1999-09-07,2004-04-18,bergp001,bergepe01,2002,MON,NL,250000,0.2106666666666666,0.2745098039215686
wilsoja02,2001,1,108,390,44,87,17,1,3,25.0,1.0,3.0,16,70.0,2.0,1.0,17.0,1.0,4.0,1977.0,12.0,29.0,USA,CA,Westlake Village,,,,,,,Jack,Wilson,Jack Eugene,200.0,72.0,R,R,2001-04-03,2012-07-13,wilsj002,wilsoja02,2002,PIT,NL,232000,0.2230769230769231,0.2549019607843137
